,Adj Close,Date,Stock,stock_price_change,tot_cases,new_case,tot_death,new_death,previous_week_case,previous_week_death,percent_caseRate_change,percent_deathRate_change,Category,biotech,consumer,energy,healthCare,it,pharmacy,realEstate,retail,utility,Rise/Fall
36,7.842000198364258,2020-02-02,FBRX,-0.1043100775766973,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,biotech,1,0,0,0,0,0,0,0,0,Fall
37,4.250999879837036,2020-02-02,TRIL,0.05982903250545498,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,biotech,1,0,0,0,0,0,0,0,0,Rise
38,2.974000024795532,2020-02-02,CODX,0.43510424570361406,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,biotech,1,0,0,0,0,0,0,0,0,Rise
39,6.867000007629395,2020-02-02,ALIM,-0.08247173272943306,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,biotech,1,0,0,0,0,0,0,0,0,Fall
40,17.358000183105467,2020-02-02,BTAI,0.009294473088737275,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,biotech,1,0,0,0,0,0,0,0,0,Rise
41,87.90574951171875,2020-02-02,ABT,-0.02342345185321578,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,pharmacy,0,0,0,0,0,1,0,0,0,Fall
42,9.263999938964844,2020-02-02,RCUS,-0.03590961972991313,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,pharmacy,0,0,0,0,0,1,0,0,0,Fall
43,137.20861206054687,2020-02-02,LLY,-0.004668028958207329,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,pharmacy,0,0,0,0,0,1,0,0,0,Fall
44,31.41199951171875,2020-02-02,ELAN,-0.019249551446388638,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,pharmacy,0,0,0,0,0,1,0,0,0,Fall
45,84.31060180664062,2020-02-02,MRK,-0.020361690021562927,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,pharmacy,0,0,0,0,0,1,0,0,0,Fall
46,21.979999542236328,2020-02-02,BILI,-0.014103764511570877,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,it,0,0,0,0,1,0,0,0,0,Fall
47,70.8817642211914,2020-02-02,CCOI,-8.231245899860347e-05,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,it,0,0,0,0,1,0,0,0,0,Fall
48,34.6060676574707,2020-02-02,CHT,-0.009749251882735602,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,it,0,0,0,0,1,0,0,0,0,Fall
49,104.1808837890625,2020-02-02,CVX,-0.023006689047986865,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,energy,0,0,1,0,0,0,0,0,0,Fall
50,59.342725372314455,2020-02-02,XOM,-0.041790139909135667,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,energy,0,0,1,0,0,0,0,0,0,Fall
51,19.860662078857423,2020-02-02,KMI,-0.006169212408823348,7,0.0,0,0.0,1.0,0.0,-1.0,0.0,energy,0,0,1,0,0,0,0,0,0,Fall
